term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.7432489759969776,0.10792406214897349,-2.7493794148731223,0.0059708227651001705,0.6008531902192112,0.9176003168564999
internetaccess,2.956449942220583,0.15290348172171153,7.089369009111637,1.3472485249662777e-12,2.195052187282669,3.9990135221736622
remittances,3.898992842760308,0.15731727726307726,8.6495157938879,5.1718398778984176e-18,2.8739705405812983,5.327971923202137
